season 2013 NYJ 11  -  47 31 388 12.5 2 66.3 6.0
    week 1 TB W 18-17 8 7 79 11.3 1 17.4
    week 2 at NE L 10-13 6 3 16 5.3 0 3.1
    week 4 at TEN L 13-38 9 6 73 12.2 0 10.3
    week 5 at ATL W 30-28 1 1 1 1.0 1 6.6
    week 11 at BUF L 14-37 1 1 17 17.0 0 2.2
    week 12 at BAL L 3-19 4 2 34 17.0 0 4.4
    week 13 MIA L 3-23 3 3 26 8.7 0 4.1
    week 14 OAK W 37-27 6 3 61 20.3 0 7.6
    week 15 at CAR L 20-30 1 1 12 12.0 0 1.7
    week 16 CLE W 24-13 5 3 35 11.7 0 5.0
    week 17 at MIA W 20-7 3 1 34 34.0 0 3.9
season 2012 NE 1  -  2 1 12 12.0 0 1.7 1.7
    week 3 at BAL L 30-31 2 1 12 12.0 0 1.7
season 2011 TB 16 15 121 75 763 10.2 2 123.8 7.7
season 2010 TB 16 11 98 66 730 11.1 5 136.0 8.5
season 2009 TB 16 14 127 77 884 11.5 5 157.6 9.9
season 2008 CLE 10 8 82 43 428 10.0 3 80.3 8.0
season 2007 CLE 16 14 148 82 1106 13.5 5 179.6 11.2
season 2006 CLE 16 16 119 89 875 9.8 3 150.0 9.4
season 2004 CLE 2 2 11 5 50 10.0 0 7.5 3.8
