season 2014 (Projected) NYG - - - 482.6 - 5.2 - - - - - 79.3 6.6
season 2015 (Projected) NYG - - 83 322 3.9 4 - 10 76 7.6 0 68.8 -
season 2014 NYG 16  -  216 720 3.3 7 37 18 130 7.2 0 136.0 8.5
    week 1 @DET L 14-35 5 9 1.8 0 1 0 0 - 0 0.9
    week 2 ARI L 14-25 8 12 1.5 0 4 2 7 3.5 0 2.9
    week 3 HOU W 30-17 6 18 3.0 0 0 0 0 - 0 1.8
    week 4 @WAS W 45-14 15 66 4.4 1 1 0 0 - 0 12.6
    week 5 ATL W 30-20 20 65 3.3 1 2 2 18 9.0 0 15.3
    week 6 @PHI L 0-27 16 58 3.6 0 0 0 0 - 0 5.8
    week 7 @DAL L 21-31 18 51 2.8 0 3 0 0 - 0 5.1
    week 9 IND L 24-40 12 22 1.8 1 1 1 24 24.0 0 11.1
    week 10 @SEA L 17-38 13 33 2.5 1 5 2 5 2.5 0 10.8
    week 11 SF L 10-16 2 2 1.0 0 2 1 4 4.0 0 1.1
    week 12 DAL L 28-31 10 35 3.5 1 2 1 12 12.0 0 11.2
    week 13 @JAC L 24-25 8 21 2.6 0 3 2 16 8.0 0 4.7
    week 14 @TEN W 36-7 24 131 5.5 1 5 3 16 5.3 0 22.2
    week 15 WAS W 24-13 18 44 2.4 0 4 1 9 9.0 0 5.8
    week 16 @STL W 37-27 26 110 4.2 0 1 0 0 - 0 11.0
    week 17 PHI L 26-34 15 43 2.9 1 3 3 19 6.3 0 13.7
